day_type,CAPE TOWN,N1 FREEWAY,SALT RIVER CIRCLE,VOORTREKKER RD,FRANS CONRADIE DRV,MAITLAND,GOODWOOD,ELSIES RIVER,PAROW,BELLVILLE (SANLAM),BELLVILLE
Fridays,15:00,,via,via,,,via,via,via,,16:20
Fridays,13:45,,via,via,,,via,via,via,,14:30
Fridays,12:15,,via,via,,,via,via,via,,13:30
Fridays,14:00,,via,via,,,via,via,via,,15:00
Fridays,12:00,,via,via,,,via,via,via,,13:00
Fridays,11:30,,via,via,,,via,via,via,,12:30
Fridays,11:00,,via,via,,,via,via,via,,12:00
Fridays,14:30,,via,via,,,via,via,via,,16:30
Fridays,14:45,,via,via,,,via,via,via,,16:10
Fridays,10:45,,via,via,,,via,via,via,,11:45
Fridays,10:15,,via,via,,,via,via,via,,11:15
Fridays,15:20,,via,via,,,via,via,via,,17:00
Fridays,15:45,,via,via,,,via,via,via,,16:45
Fridays,16:00,,via,via,,,via,via,via,,17:00
Fridays,13:30,,via,via,,,via,via,via,,14:30
Fridays,09:15,,via,via,,,via,via,via,,10:30
Fridays,17:15,via,,,via,,via,,via,18:15,18:30
Fridays,18:45,,via,via,,,via,via,via,,19:45
Fridays,06:25,,via,via,,,via,via,via,,07:20
Fridays,18:10,,via,via,,,via,via,via,,19:05
Fridays,17:50,,via,via,,,via,via,via,,19:30
Fridays,16:00,via,,,,,via,17:05,,,
Fridays,17:10,,via,via,,,via,via,via,,18:10
Fridays,13:00,,via,via,,,via,via,via,,14:00
Fridays,08:15,,via,via,,,via,via,via,,09:15
Fridays,08:45,,via,via,,,via,via,via,,09:45
Fridays,09:00,,via,via,,,via,via,via,,10:00
Fridays,16:50,,via,via,,,via,via,via,,17:55
MondaysToFridays,17:35,,via,via,,,via,via,via,,18:40
MondaysToFridays,14:15,,via,via,,,via,via,via,,15:50
MondaysToFridays,16:40,via,,,via,,via,,via,17:35,18:00
MondaysToFridays,16:30,,via,via,,,via,via,via,,18:00
MondaysToFridays,16:00,via,,via,via,,via,,via,via,17:30
MondaysToFridays,06:00,,via,via,,,via,via,via,,07:00
MondaysToFridays,08:00,,via,via,,,via,via,via,,09:10
MondaysToFridays,09:45,,via,via,,,via,via,via,,11:00
MondaysToFridays,08:30,,via,via,,,via,via,via,,09:30
MondaysToFridays,07:45,,via,via,,,via,via,via,,09:00
MondaysToFridays,07:35,,via,via,,,via,via,via,,08:50
MondaysToFridays,07:15,,via,via,,,via,via,via,,08:20
MondaysToFridays,09:30,,via,via,,,via,via,via,,10:15
MondaysToFridays,06:45,,,via,,via,via,via,via,07:45,08:00
MondaysToFridays,12:30,,via,via,,,via,via,via,,13:30
Mondays_to_Thursdays,17:50,,via,via,,,via,via,via,,18:50
Mondays_to_Thursdays,09:15,,via,via,,,via,via,via,,10:15
Mondays_to_Thursdays,06:25,,via,via,,,via,via,via,,07:50
Mondays_to_Thursdays,09:00,,via,via,,,via,via,via,,10:05
Mondays_to_Thursdays,16:20,,via,via,,,via,via,via,,18:00
Mondays_to_Thursdays,16:20,via,,,via,,via,,via,17:20,18:05
Mondays_to_Thursdays,08:45,,via,via,,,via,via,via,,09:45
Mondays_to_Thursdays,18:45,,via,via,,,via,via,via,,19:45
Mondays_to_Thursdays,16:45,,via,via,,,via,via,via,,18:10
Mondays_to_Thursdays,13:00,,via,via,,,via,via,via,,14:00
Mondays_to_Thursdays,17:10,,via,via,,,via,via,via,,18:10
Mondays_to_Thursdays,16:00,via,,,,,via,18:10,,,
Mondays_to_Thursdays,17:15,via,,,via,,via,,via,18:15,18:30
Mondays_to_Thursdays,18:10,,via,via,,,via,via,via,,19:10
Mondays_to_Thursdays,12:45,,via,via,,,via,via,via,,14:15
Mondays_to_Thursdays,08:15,,via,via,,,via,via,via,,09:15
Mondays_to_Thursdays,15:55,,via,via,,,via,via,via,,17:30
Mondays_to_Thursdays,,,,via,,,,16:00,,,16:30
Mondays_to_Thursdays,13:15,,via,via,,,via,via,via,,15:30
Mondays_to_Thursdays,13:30,,via,via,,,via,via,via,,15:00
Mondays_to_Thursdays,12:15,,via,via,,,via,via,via,,13:30
Mondays_to_Thursdays,13:45,,via,via,,,via,via,via,,15:00
Mondays_to_Thursdays,12:00,,via,via,,,via,via,via,,13:00
Mondays_to_Thursdays,11:30,,via,via,,,via,via,via,,12:30
Mondays_to_Thursdays,11:00,,via,via,,,via,via,via,,12:00
Mondays_to_Thursdays,14:30,,via,via,,,,via,via,,15:50
Mondays_to_Thursdays,14:00,,via,via,,,via,via,via,,15:20
Mondays_to_Thursdays,14:40,,via,via,,,,via,via,,15:40
Mondays_to_Thursdays,10:45,,via,via,,,via,via,via,,11:45
Mondays_to_Thursdays,14:50,,via,via,,,via,via,via,,16:05
Mondays_to_Thursdays,15:00,,via,via,,,via,via,via,,17:00
Mondays_to_Thursdays,10:15,,via,via,,,via,via,via,,11:30
Mondays_to_Thursdays,15:20,,via,via,,,via,via,via,,16:30
Mondays_to_Thursdays,14:30,,via,via,,,via,via,via,,15:40
Mondays_to_Thursdays,15:40,,via,via,,,via,via,via,,17:00
PublicHolidays,11:30,,via,via,,,via,via,via,,12:30
PublicHolidays,11:00,,via,via,,,via,via,via,,11:50
PublicHolidays,10:30,,via,via,,,via,via,via,,11:30
PublicHolidays,10:00,,via,via,,,via,via,via,,11:00
PublicHolidays,08:30,,via,via,,,via,via,via,,09:30
PublicHolidays,09:00,,via,via,,,via,via,via,,10:00
PublicHolidays,08:00,,via,via,,,via,via,via,,09:00
PublicHolidays,12:00,,via,via,,,via,via,via,,13:00
PublicHolidays,09:30,,via,via,,,via,via,via,,10:30
PublicHolidays,12:30,,via,via,,,via,via,via,,13:30
PublicHolidays,17:00,,via,via,,,via,via,via,,18:00
PublicHolidays,13:30,,via,via,,,via,via,via,,14:30
PublicHolidays,14:00,,via,via,,,via,via,via,,15:00
PublicHolidays,14:30,,via,via,,,via,via,via,,15:30
PublicHolidays,15:00,,via,via,,,via,via,via,,16:00
PublicHolidays,15:30,,via,via,,,via,via,via,,16:20
PublicHolidays,16:00,,via,via,,,via,via,via,,16:50
PublicHolidays,16:30,,via,via,,,via,via,via,,17:20
PublicHolidays,17:30,,via,via,,,via,via,via,,18:30
PublicHolidays,07:30,,via,via,,,via,via,via,,08:30
PublicHolidays,13:00,,via,via,,,via,via,via,,14:00
PublicHolidays,07:00,,via,via,,,via,via,via,,08:00
PublicHolidays,18:30,,via,via,,,via,via,via,,19:15
PublicHolidays,18:00,,via,via,,,via,via,via,,19:00
Saturdays,13:00,,via,via,,,via,via,via,,14:00
Saturdays,12:30,,via,via,,,via,via,via,,13:30
Saturdays,12:15,,via,via,,,via,via,via,,13:30
Saturdays,12:00,,via,via,,,via,via,via,,13:00
Saturdays,11:30,,via,via,,,via,via,via,,12:30
Saturdays,11:00,,via,via,,,via,via,via,,12:00
Saturdays,10:45,,via,via,,,via,via,via,,11:45
Saturdays,10:30,,via,via,,,via,via,via,,11:30
Saturdays,10:00,,via,via,,,via,via,via,,11:30
Saturdays,09:30,,via,via,,,via,via,via,,10:30
